model,accuracy,precision,recall,f1_score
LogisticRegression,0.8644026974951831,0.849731753275078,0.8515736744592098,0.8498720841160605
RandomForest,0.9017341040462428,0.8914172856129597,0.8908465296391939,0.8907832612153658
XGBoost,0.9072736030828517,0.8979491353269697,0.8970571693533722,0.897313056492737
