mean_test_score,std_test_score,rank_test_score,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree
0.9061785318502057,0.005448008218549037,1,0.8,1.5,0.1,300,5,0.1,0.1,0.6
0.9058170498756295,0.006076330081204431,2,1.0,1.5,0.5,200,10,0.1,0.3,0.6
0.9055761223208594,0.004472256815498924,3,0.8,1.0,0.1,300,3,0.1,0.1,1.0
0.9052752801258697,0.00616859651585925,4,0.8,1.5,0.1,200,10,0.1,0.3,0.6
0.9046125752581361,0.0037196395112245213,5,0.8,1.5,0.0,200,3,0.1,0.1,1.0
0.904371974016081,0.006011056075853797,6,0.8,0.5,0.0,200,5,0.2,0.3,0.6
0.9038296966687641,0.0045857919598256925,7,1.0,1.5,0.0,300,3,0.1,0.0,1.0
0.9036491732232863,0.005874645316494946,8,0.6,1.5,0.1,100,7,0.1,0.1,1.0
0.9033480953580021,0.005641304528451151,9,1.0,1.0,0.5,300,5,0.2,0.1,1.0
0.9028063799936948,0.004666723162889175,10,0.6,1.0,0.1,200,10,0.1,0.1,0.6
0.9016622913570094,0.00537379546072805,11,0.8,1.5,0.0,300,10,0.2,0.1,0.6
0.901120358450892,0.004995187889240445,12,0.6,0.5,0.5,100,7,0.2,0.3,1.0
0.9009396899775407,0.005018592420907206,13,0.6,1.0,0.0,100,10,0.2,0.1,0.8
0.9009394180502778,0.0074369797773156734,14,0.6,0.5,0.1,300,10,0.01,0.3,1.0
0.9003372260627416,0.0046919879299763285,15,0.6,0.5,0.0,100,10,0.01,0.0,0.6
0.8979889166073413,0.0045547164151181485,16,0.8,0.5,0.0,200,10,0.2,0.0,0.6
0.8973263748959651,0.004708861244560016,17,1.0,0.5,0.0,300,10,0.2,0.3,1.0
0.8755270539527256,0.006828437840500172,18,1.0,1.5,0.0,100,5,0.01,0.3,0.6
0.8210287334661425,0.01238261350904568,19,0.8,1.5,0.0,100,3,0.01,0.0,1.0
0.8178973278795603,0.010031259646019619,20,1.0,1.5,0.0,100,3,0.01,0.0,1.0
