mean_test_score,std_test_score,rank_test_score,param_classifier__subsample,param_classifier__reg_lambda,param_classifier__reg_alpha,param_classifier__n_estimators,param_classifier__max_depth,param_classifier__learning_rate,param_classifier__gamma,param_classifier__colsample_bytree
0.906057904916463,0.003642039421203426,1,1.0,1.0,0.0,200,3,0.2,0.3,0.6
0.9053957076462865,0.005246786898487242,2,0.6,1.5,0.5,100,7,0.1,0.3,0.8
0.9047932074745191,0.004887360680305292,3,1.0,1.5,0.1,300,3,0.1,0.1,0.8
0.9042516008811168,0.005550045454148059,4,0.6,1.0,0.5,100,10,0.1,0.3,0.6
0.9037092691483475,0.006152127230025666,5,1.0,1.0,0.5,200,7,0.2,0.3,0.8
0.9035287275743851,0.005858069839732102,6,1.0,0.5,0.5,100,5,0.2,0.1,1.0
0.9033480409725497,0.005419242181412871,7,1.0,1.5,0.1,200,3,0.1,0.3,0.6
0.9032878725335518,0.004854939335234029,8,0.8,1.5,0.1,100,5,0.1,0.0,1.0
0.9028061080664322,0.006874263561736839,9,1.0,0.5,0.5,100,10,0.1,0.3,0.8
0.9026856442890472,0.006112211745486264,10,1.0,0.5,0.5,100,5,0.2,0.3,1.0
0.9026256208779226,0.006614236128679572,11,1.0,0.5,0.5,200,10,0.2,0.3,0.8
0.9015416100378142,0.0048291190879524324,12,0.6,0.5,0.1,200,10,0.01,0.3,0.6
0.8996146790687254,0.004719472249903955,13,0.6,1.0,0.5,300,7,0.01,0.1,0.6
0.8994941246489192,0.004635921134184723,14,1.0,1.5,0.1,100,10,0.01,0.3,0.6
0.8993739871842493,0.003957558697932142,15,0.6,1.5,0.0,200,7,0.2,0.0,0.8
0.8981090178150426,0.005879503861017869,16,0.6,1.0,0.0,100,10,0.01,0.1,1.0
0.8969651829771358,0.003981255803306435,17,0.6,1.0,0.1,300,10,0.2,0.0,0.8
0.8938334873348064,0.004870171150409018,18,1.0,1.0,0.1,100,3,0.1,0.3,0.6
0.8469832117546542,0.005775499062894066,19,1.0,1.0,0.1,300,3,0.01,0.1,0.6
0.8345176672049013,0.006893813788338011,20,0.8,1.5,0.1,200,3,0.01,0.0,1.0
