mean_test_score,std_test_score,rank_test_score,param_subsample,param_reg_lambda,param_reg_alpha,param_n_estimators,param_max_depth,param_learning_rate,param_gamma,param_colsample_bytree
0.9062987599572965,0.004696761320181505,1,0.6,1.5,0.5,300,3,0.1,0.1,1.0
0.9053955807468972,0.005262879086952613,2,0.6,1.5,0.5,200,5,0.1,0.3,0.6
0.9052148035026407,0.006068187378045265,3,1.0,0.5,0.5,200,10,0.1,0.3,0.6
0.9051547438345479,0.0062472236132409785,4,0.6,1.5,0.1,200,7,0.1,0.1,0.6
0.9048536659692639,0.005983020524732641,5,1.0,0.5,0.1,200,5,0.1,0.0,0.6
0.9046730337528809,0.005840277895655984,6,0.8,1.0,0.5,100,10,0.1,0.3,0.8
0.9025655068243772,0.005541356503926861,7,0.8,0.5,0.5,300,7,0.1,0.0,0.6
0.902264392702125,0.006588173303196944,8,0.8,0.5,0.5,300,10,0.1,0.3,1.0
0.902143947053224,0.004364397959229259,9,0.8,1.5,0.5,200,7,0.2,0.0,0.8
0.9016015971919703,0.005715185534982343,10,1.0,0.5,0.1,300,7,0.1,0.3,1.0
0.9003371898057733,0.00652022148466996,11,0.6,0.5,0.0,200,10,0.01,0.1,1.0
0.8999759435014912,0.004915536815533785,12,0.6,1.5,0.0,100,10,0.01,0.1,0.8
0.8993739146703128,0.004603335561517068,13,0.8,0.5,0.0,300,7,0.2,0.0,0.6
0.8987112823165158,0.005508809411142712,14,0.8,0.5,0.1,200,7,0.01,0.1,0.6
0.8983500178837497,0.005431622368945431,15,0.8,0.5,0.1,100,3,0.1,0.1,1.0
0.8979888440934044,0.00406867752047535,16,0.6,1.0,0.1,200,7,0.2,0.0,1.0
0.8946764255922712,0.005840391607914968,17,1.0,1.0,0.0,200,7,0.01,0.0,1.0
0.8832352129127017,0.006423865821002525,18,0.8,0.5,0.5,200,5,0.01,0.1,0.6
0.881428455665251,0.0047801268657885095,19,0.6,1.0,0.5,200,5,0.01,0.3,1.0
0.8798626441010547,0.004516162969181802,20,0.8,1.5,0.5,200,5,0.01,0.0,1.0
